incident_id,machine_id,machine_type,location,incident_datetime,incident_type,failure_code,failure_description,sensor_id,sensor_type,sensor_value,maintenance_type,maintenance_action,downtime_minutes,reported_by,resolved_datetime,resolution_status,cost_estimate,root_cause
INC-0001,CNC-001,CNC Machining Center,Line A,2026-01-11 03:33:30,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,CNC-001-SEN-SPIN,Spindle Speed Sensor,2727.01,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,208,MNT-001 (Sato T.),2026-01-11 07:12:30,closed,541.03,Scheduled PM as per 500-hour maintenance plan
INC-0002,CONV-002,Conveyor Belt System,Line B,2026-01-11 11:17:31,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CONV-002-SEN-SPEED,Belt Speed Sensor,1.29,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,80,MNT-001 (Sato T.),2026-01-11 13:06:31,closed,1371.16,CMMS-generated work order based on predictive alert threshold breach
INC-0003,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-01-15 17:45:48,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,PUMP-001-SEN-FLOW,Flow Rate Sensor,207.1,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,36,OPR-002 (Suzuki M.),2026-01-15 19:00:48,resolved,608.37,EMI from adjacent inverter drive affecting analog signal quality
INC-0004,ROB-002,Robotic Arm FANUC M-20,Line A,2026-01-17 04:32:04,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",ROB-002-SEN-CUR,Drive Current Sensor,8.12,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,82,MNT-002 (Kobayashi R.),2026-01-17 06:32:04,closed,299.01,Annual statutory safety inspection requirement
INC-0005,CNC-003,CNC Machining Center,Line B,2026-01-18 03:04:58,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,CNC-003-SEN-TEMP,Spindle Temperature Sensor,21.81,corrective,Repaired hydraulic pipe joint; purged air from system; tested at full pressure,20,CMMS-AUTO,2026-01-18 03:32:58,closed,826.92,Increased friction from bearing wear causing elevated current draw
INC-0006,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-01-19 01:06:05,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,ROB-004-SEN-CUR,Drive Current Sensor,20.19,corrective,Replaced ruptured drive belt (Gates Poly Chain); adjusted tension,76,CMMS-AUTO,2026-01-19 03:00:05,closed,1397.54,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0007,ROB-002,Robotic Arm FANUC M-20,Line A,2026-01-19 13:51:49,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,ROB-002-SEN-CUR,Drive Current Sensor,24.88,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,434,OPR-001 (Tanaka K.),2026-01-19 21:50:49,closed,1989.25,Lubrication interval overrun by 40 hours; accelerated bearing wear
INC-0008,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-01-22 05:19:29,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",COMP-002-SEN-TEMP,Discharge Air Temp Sensor,56.46,preventive,Calibrated all installed sensors against reference standards,182,MNT-002 (Kobayashi R.),2026-01-22 08:35:29,closed,75.96,CMMS-generated work order based on predictive alert threshold breach
INC-0009,CONV-001,Conveyor Belt System,Line A,2026-01-22 17:49:09,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-001-SEN-VIB,Vibration Sensor,3.85,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,228,MNT-001 (Sato T.),2026-01-22 21:50:09,closed,974.21,Annual statutory safety inspection requirement
INC-0010,CNC-005,CNC Machining Center V2,Line B,2026-01-22 21:59:07,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CNC-005-SEN-COOL,Coolant Flow Sensor,21.08,preventive,Calibrated all installed sensors against reference standards,81,MNT-001 (Sato T.),2026-01-23 00:09:07,closed,82.11,CMMS-generated work order based on predictive alert threshold breach
